"Date","Open","High","Low","Close","Volume","Adj Close"
"20060523 00:00:00","37.75","39.22","37.75","37.96","620900","37.85"
"20060524 00:00:00","37.13","37.57","35.87","36.52","638600","36.41"
"20060525 00:00:00","37.18","38.32","36.98","38.32","367000","38.21"
"20060526 00:00:00","38.74","38.74","37.77","38.55","269400","38.44"
"20060530 00:00:00","39.5","39.72","38.11","38.17","559100","38.06"
"20060531 00:00:00","38.9","39.13","38.12","38.85","350700","38.74"
"20060601 00:00:00","37.2","38.58","37.17","38.53","641300","38.42"
"20060602 00:00:00","39.31","39.39","38.8","39.13","277300","39.02"
"20060605 00:00:00","40.27","40.27","38.1","38.13","436000","38.02"
"20060606 00:00:00","38.03","38.03","36.72","37.01","663600","36.9"
"20060607 00:00:00","36.31","37.55","35.82","36.14","484100","36.04"
"20060608 00:00:00","35.27","35.38","33.62","35.27","812800","35.17"
"20060609 00:00:00","35.75","36.19","34.86","35.07","542200","34.97"
"20060612 00:00:00","35.48","35.63","33.76","33.78","584700","33.68"
"20060613 00:00:00","32.66","33.15","31.82","32.2","1580900","32.11"
"20060614 00:00:00","32.85","33.5","32.25","33.03","646800","32.93"
"20060615 00:00:00","34.4","35.05","34","34.94","882200","34.84"
"20060616 00:00:00","35","35","34.3","34.57","602300","34.47"
"20060619 00:00:00","34.17","34.47","33.57","33.6","366100","33.5"
"20060620 00:00:00","33.91","34.73","33.6","34.34","388500","34.24"
"20060621 00:00:00","34.6","36.04","34.6","35.86","551000","35.76"
"20060622 00:00:00","36","36.21","35.17","35.64","590000","35.54"
"20060623 00:00:00","35.17","36.5","35.15","36.28","467800","36.17"
"20060626 00:00:00","36.62","36.8","36.15","36.63","301500","36.52"
"20060627 00:00:00","36.97","37.05","35.48","35.48","469200","35.38"
"20060628 00:00:00","35.7","35.93","35","35.31","415200","35.21"
"20060629 00:00:00","35.95","37.96","35.94","37.96","588500","37.85"
"20060630 00:00:00","38.7","39.06","38.32","38.7","1069400","38.59"
"20060703 00:00:00","39.4","40.23","39.32","40.23","561200","40.11"
"20060705 00:00:00","40.1","40.46","38.85","39.37","685600","39.26"
"20060706 00:00:00","39.5","39.99","39.04","39.73","411100","39.61"
"20060707 00:00:00","39.68","39.88","38.95","39.03","500500","38.92"
"20060710 00:00:00","38.39","39.13","38.25","38.67","401400","38.56"
"20060711 00:00:00","39.03","39.76","38.79","39.76","512700","39.64"
"20060712 00:00:00","40.11","40.46","39.37","39.49","519500","39.38"
"20060713 00:00:00","39.48","39.5","38.28","38.33","647700","38.22"
