"Date","Open","High","Low","Close","Volume","Adj Close"
"20011126 00:00:00","91.01","91.01","91.01","91.01","0","42.09"
"20011127 00:00:00","91.01","91.01","91.01","91.01","0","42.09"
"20011128 00:00:00","91.01","91.01","91.01","91.01","0","42.09"
"20011129 00:00:00","91.01","91.01","91.01","91.01","0","42.09"
"20011130 00:00:00","91.32","91.32","91.32","91.32","200","42.23"
"20011203 00:00:00","91.32","91.32","91.32","91.32","0","42.23"
"20011204 00:00:00","92.64","92.64","92.64","92.64","200","42.84"
"20011205 00:00:00","92.64","92.64","92.64","92.64","0","42.84"
"20011206 00:00:00","94.12","94.12","94.12","94.12","400","43.52"
"20011207 00:00:00","92.7","92.7","92.14","92.14","600","42.61"
"20011210 00:00:00","92.14","92.14","92.14","92.14","0","42.61"
"20011211 00:00:00","90.75","90.75","90.75","90.75","400","41.97"
"20011212 00:00:00","90.3","90.3","90.05","90.05","600","41.64"
"20011213 00:00:00","90.05","90.05","90.05","90.05","0","41.64"
"20011214 00:00:00","90.05","90.05","90.05","90.05","0","41.64"
"20011217 00:00:00","89.68","89.68","89.68","89.68","0","41.64"
"20011218 00:00:00","90.05","90.81","90.05","90.81","2600","42.17"
"20011219 00:00:00","90.65","91.4","90.65","91.4","4800","42.44"
"20011220 00:00:00","91.4","91.4","91.4","91.4","0","42.44"
"20011221 00:00:00","91.4","91.4","91.4","91.4","0","42.44"
"20011224 00:00:00","93","93","93","93","200","43.18"
"20011226 00:00:00","95.45","95.45","95.45","95.45","200","44.32"
"20011227 00:00:00","95.45","95.45","95.45","95.45","0","44.32"
"20011228 00:00:00","96.36","96.36","96.36","96.36","200","44.74"
"20011231 00:00:00","95.6","95.6","95.6","95.6","2000","44.39"
"20020102 00:00:00","95.6","95.6","95.6","95.6","0","44.39"
"20020103 00:00:00","95.6","95.6","95.6","95.6","0","44.39"
"20020104 00:00:00","94.2","94.38","94.2","94.38","600","43.83"
"20020107 00:00:00","94.9","94.9","94.9","94.9","600","44.07"
"20020108 00:00:00","93.9","93.9","93.9","93.9","200","43.6"
"20020109 00:00:00","93.89","93.89","93.89","93.89","200","43.6"
"20020110 00:00:00","93.89","93.89","93.89","93.89","0","43.6"
"20020111 00:00:00","93.89","93.89","93.89","93.89","0","43.6"
"20020114 00:00:00","93.89","93.89","93.89","93.89","0","43.6"
"20020115 00:00:00","93.89","93.89","93.89","93.89","0","43.6"
"20020116 00:00:00","93.89","93.89","93.89","93.89","0","43.6"
"20020117 00:00:00","93.89","93.89","93.89","93.89","0","43.6"
"20020118 00:00:00","93.89","93.89","93.89","93.89","0","43.6"
"20020122 00:00:00","89.2","89.2","88.55","88.57","3400","41.13"
"20020123 00:00:00","88.57","88.57","88.57","88.57","0","41.13"
"20020124 00:00:00","88.57","88.57","88.57","88.57","0","41.13"
"20020125 00:00:00","88.57","88.57","88.57","88.57","0","41.13"
"20020128 00:00:00","92.6","92.6","92.6","92.6","4800","43"
"20020129 00:00:00","92.05","92.05","92.05","92.05","200","42.74"
