"Date","Open","High","Low","Close","Volume","Adj Close"
"20011126 00:00:00","115.75","116.34","115.07","115.93","13726000","105.52"
"20011127 00:00:00","115.62","116.9","114.09","115.43","19261400","105.06"
"20011128 00:00:00","114.74","115.17","113.25","113.34","20195500","103.16"
"20011129 00:00:00","113.66","114.92","113","114.87","16354700","104.55"
"20011130 00:00:00","114.4","114.91","114.02","114.05","13680300","103.81"
"20011203 00:00:00","113.65","114.08","113.01","113.37","15220400","103.19"
"20011204 00:00:00","113.92","115.3","113.35","115.29","17239900","104.93"
"20011205 00:00:00","115.61","118","115.56","117.4","25204000","106.85"
"20011206 00:00:00","117.34","117.94","116.93","117.34","17972900","106.8"
"20011207 00:00:00","116.9","117.09","115.7","116.56","18857800","106.09"
"20011210 00:00:00","115.85","116.39","114.35","114.38","13862700","104.11"
"20011211 00:00:00","114.9","115.72","113.9","114.15","20833300","103.9"
"20011212 00:00:00","114.55","114.78","113.11","114.28","16171500","104.02"
"20011213 00:00:00","113.45","113.7","112.04","112.06","19026700","101.99"
"20011214 00:00:00","112.33","113.49","112","113.13","16721900","102.97"
"20011217 00:00:00","112.99","114.36","112.9","114.3","13925900","104.03"
"20011218 00:00:00","114.63","115.15","114.34","114.98","13663700","104.65"
"20011219 00:00:00","114.09","115.92","114","115.79","20143400","105.39"
"20011220 00:00:00","115.5","115.8","114.55","114.65","14867900","104.35"
"20011221 00:00:00","115.03","115.07","114.2","114.95","14037700","104.62"
"20011224 00:00:00","114.83","115.04","114.61","114.73","5728800","104.42"
"20011226 00:00:00","114.65","116.21","114.65","115.36","10304800","105"
"20011227 00:00:00","115.3","116.08","115.25","116.06","9407300","105.64"
"20011228 00:00:00","116.29","116.75","115.92","116","10593800","105.58"
"20011231 00:00:00","116.15","116.39","114.23","114.3","14619500","104.03"
"20020102 00:00:00","115.11","115.75","113.81","115.53","18651900","105.15"
"20020103 00:00:00","115.65","116.95","115.54","116.84","15743000","106.35"
"20020104 00:00:00","117.17","117.98","116.55","117.62","20140700","107.06"
"20020107 00:00:00","117.7","117.99","116.56","116.79","13106500","106.3"
"20020108 00:00:00","116.79","117.06","115.97","116.52","12683700","106.05"
"20020109 00:00:00","116.68","117.78","115.34","115.57","16610300","105.19"
"20020110 00:00:00","115.69","116.35","115.3","116.08","12823400","105.65"
"20020111 00:00:00","116.21","116.28","114.7","114.94","13708400","104.62"
"20020114 00:00:00","114.65","114.84","113.96","114.22","12301100","103.96"
"20020115 00:00:00","114.55","115.39","113.9","115.15","20219900","104.81"
"20020116 00:00:00","114.3","114.4","112.69","112.82","17067000","102.69"
"20020117 00:00:00","113.76","114.24","113.4","113.67","17283400","103.46"
"20020118 00:00:00","113","113.85","112.67","113.15","17028000","102.99"
"20020122 00:00:00","113.75","113.93","112.02","112.37","11689300","102.28"
"20020123 00:00:00","112.63","113.55","112.02","113.23","12438900","103.06"
"20020124 00:00:00","113.64","114.25","113.32","113.58","12142800","103.38"
"20020125 00:00:00","113.12","114.18","113.04","113.55","12810700","103.35"
"20020128 00:00:00","113.9","114.19","112.92","113.86","10589200","103.63"
"20020129 00:00:00","113.85","114.13","110.05","110.28","27720800","100.37"
"20020130 00:00:00","110.39","113.39","108.4","111.87","34711800","101.82"
"20020131 00:00:00","112.15","113.3","111.62","113.18","19909200","103.01"
"20020201 00:00:00","113.09","113.3","112.17","112.65","15838500","102.53"
"20020204 00:00:00","112.23","112.23","109.44","109.85","24243400","99.98"
"20020205 00:00:00","109.4","110.49","108.53","109.17","33614000","99.36"
"20020206 00:00:00","109.65","109.74","108.06","108.7","29486000","98.94"
"20020207 00:00:00","108.72","109.86","108","108.02","23445400","98.32"
"20020208 00:00:00","108.63","110.75","108.3","110.09","19277800","100.2"
"20020211 00:00:00","110.05","111.64","109.82","111.44","18792400","101.43"
"20020212 00:00:00","110.96","111.71","110.03","111.09","13942500","101.11"
"20020213 00:00:00","111.48","112.54","111.35","112.27","16781100","102.19"
"20020214 00:00:00","112.51","112.97","111.59","112.06","20453800","101.99"
"20020215 00:00:00","112.15","112.24","110.71","110.89","18366800","100.93"
"20020219 00:00:00","110.15","110.29","108.61","108.76","15988100","98.99"
"20020220 00:00:00","109.05","110.59","107.82","110.59","29242800","100.66"
"20020221 00:00:00","109.93","110.63","108.26","108.3","26288600","98.57"
"20020222 00:00:00","108.35","109.94","107.87","109.64","26572900","99.79"
"20020225 00:00:00","109.74","111.81","109.7","111.45","17458700","101.44"
"20020226 00:00:00","111.6","112.04","110.57","111.22","22346500","101.23"
"20020227 00:00:00","111.96","112.86","110.65","111.65","28597900","101.62"
"20020228 00:00:00","111.83","112.75","111.03","111.15","23755400","101.17"
"20020301 00:00:00","111.72","113.85","111.51","113.74","26273600","103.52"
"20020304 00:00:00","113.9","115.99","113.65","115.75","27184600","105.35"
"20020305 00:00:00","115.33","116.4","114.97","115.38","22718900","105.02"
"20020306 00:00:00","115.1","117.15","115.07","116.75","20143200","106.26"
"20020307 00:00:00","117.36","117.5","115.57","116.5","19330800","106.04"
"20020308 00:00:00","117.38","117.9","116.48","116.99","19930100","106.48"
"20020311 00:00:00","116.89","117.9","116.43","117.24","15621800","106.71"
"20020312 00:00:00","116.1","117.25","115.94","117.17","17153600","106.65"
"20020313 00:00:00","116.63","116.75","115.64","116.04","17175300","105.62"
"20020314 00:00:00","116.04","116.43","115.63","115.88","11168100","105.47"
"20020315 00:00:00","115.97","116.95","115.9","116.65","21220100","106.48"
"20020318 00:00:00","117.1","117.56","116.1","116.67","17548900","106.49"
"20020319 00:00:00","117.3","117.74","116.82","117.45","17912000","107.21"
"20020320 00:00:00","116.5","116.58","115.19","115.24","17114500","105.19"
"20020321 00:00:00","115.3","115.9","114.12","115.29","25846800","105.23"
"20020322 00:00:00","115.5","115.94","114.7","115.04","15235400","105.01"
"20020325 00:00:00","115.09","115.36","113.3","113.61","17499600","103.7"
"20020326 00:00:00","113.52","115.02","113.47","114.27","19947600","104.3"
"20020327 00:00:00","114.03","115.01","113.76","114.57","19020300","104.58"
"20020328 00:00:00","114.97","115.77","114.5","114.52","17532900","104.53"
"20020401 00:00:00","114.23","115.1","113.5","114.57","17711000","104.58"
"20020402 00:00:00","113.98","114.95","113.77","113.94","15669500","104"
"20020403 00:00:00","114.01","114.21","112.16","113.14","25658500","103.27"
"20020404 00:00:00","112.6","113.4","112.23","112.67","23549000","102.84"
"20020405 00:00:00","113.19","113.63","112.18","112.69","19404900","102.86"
"20020408 00:00:00","111.32","113.03","111.23","112.93","16470100","103.08"
"20020409 00:00:00","113.18","113.18","111.93","112.14","15122700","102.36"
"20020410 00:00:00","112.1","113.54","112.09","113.41","17199300","103.52"
"20020411 00:00:00","112.89","113.05","110.5","110.59","25453700","100.94"
"20020412 00:00:00","111.02","111.65","110.04","111.42","14950600","101.7"
"20020415 00:00:00","111.62","111.86","110.2","110.57","17394900","100.93"
"20020416 00:00:00","111.7","113.32","111.67","113.2","15040900","103.33"
"20020417 00:00:00","113.39","113.67","112.6","112.96","12920100","103.11"
"20020418 00:00:00","112.9","113.46","111.15","112.47","25204800","102.66"
"20020419 00:00:00","113.2","113.24","112.56","112.88","10499200","103.04"
"20020422 00:00:00","112.38","112.43","110.84","111","13922900","101.32"
"20020423 00:00:00","111.09","111.48","110.17","110.52","16967000","100.88"
"20020424 00:00:00","110.56","111.81","109.4","109.41","18902700","99.87"
"20020425 00:00:00","109.21","109.74","108.72","109.47","25451500","99.92"
"20020426 00:00:00","109.79","110.01","107.29","107.39","19769800","98.02"
"20020429 00:00:00","107.93","108.26","106.63","106.86","17724400","97.54"
"20020430 00:00:00","107.02","108.64","106.64","107.86","19473500","98.45"
"20020501 00:00:00","107.97","109.25","106.8","109.18","24575600","99.66"
"20020502 00:00:00","109.1","109.91","107.78","108.76","15666800","99.27"
"20020503 00:00:00","108.6","108.76","107.2","107.58","18185500","98.2"
"20020506 00:00:00","107.64","107.99","105.31","105.47","23630400","96.27"
"20020507 00:00:00","106.1","106.32","104.9","105.1","21910000","95.93"
"20020508 00:00:00","107.05","109.36","106.79","109.01","27917400","99.5"
"20020509 00:00:00","108.65","109.1","107.58","107.75","18085600","98.35"
"20020510 00:00:00","107.97","108.05","105.6","105.72","18958900","96.5"
"20020513 00:00:00","106.22","107.95","105.79","107.87","14677700","98.46"
"20020514 00:00:00","109.62","110.37","109","110.22","34201200","100.61"
"20020515 00:00:00","109.5","110.91","109.29","109.79","29535300","100.21"
"20020516 00:00:00","109.7","110.48","109.33","110.36","28092000","100.73"
"20020517 00:00:00","110.66","111.25","110.1","110.9","27823700","101.23"
"20020520 00:00:00","110.64","110.69","109.49","109.7","13833800","100.13"
"20020521 00:00:00","110.11","110.48","108.32","108.7","16877200","99.22"
"20020522 00:00:00","108.22","109.12","108","108.94","15844200","99.44"
"20020523 00:00:00","109.26","110.36","108.48","110.1","13879800","100.5"
"20020524 00:00:00","109.98","110.2","108.61","108.69","11877000","99.21"
"20020528 00:00:00","109.05","109.13","107.45","108.1","24236900","98.67"
"20020529 00:00:00","107.62","108.02","107.13","107.3","14773300","97.94"
"20020530 00:00:00","106.55","107.51","105.9","107","18217900","97.67"
"20020531 00:00:00","107.4","108.56","106.85","107.22","19826300","97.87"
"20020603 00:00:00","107.09","107.6","104.13","104.37","26056300","95.27"
"20020604 00:00:00","104.15","105.2","103.55","104.63","25856200","95.5"
"20020605 00:00:00","104.95","105.67","104.35","105.61","19695900","96.4"
"20020606 00:00:00","105.54","105.6","103.15","103.46","22998500","94.44"
"20020607 00:00:00","101.78","103.92","101.72","103.34","24011600","94.33"
"20020610 00:00:00","103.24","104.46","103.02","103.74","18759900","94.69"
"20020611 00:00:00","104.13","104.54","101.73","101.96","19990700","93.07"
"20020612 00:00:00","101.71","102.81","100.78","102.58","31266000","93.63"
"20020613 00:00:00","102.13","103","101.34","101.55","21043900","92.69"
"20020614 00:00:00","100.31","101.56","98.5","101.4","39267500","92.56"
"20020617 00:00:00","101.92","104.34","101.85","104.12","17647200","95.04"
"20020618 00:00:00","103.74","105.03","103.63","104.97","21628500","95.82"
"20020619 00:00:00","103.5","104.43","102.24","102.52","21540700","93.58"
"20020620 00:00:00","102.26","103.05","100.96","101.21","25691000","92.38"
"20020621 00:00:00","100.47","100.93","98.68","99.28","31190700","90.94"
"20020624 00:00:00","98.61","100.69","97.25","99.8","37169700","91.41"
"20020625 00:00:00","100.3","100.89","97.54","97.56","33355000","89.36"
"20020626 00:00:00","95.2","98.15","95.19","97.72","37913600","89.51"
"20020627 00:00:00","98.5","99.49","96.57","99.43","31616400","91.08"
"20020628 00:00:00","99.24","100.5","98.88","98.96","28184200","90.65"
"20020701 00:00:00","99.18","99.8","96.89","97.03","20270200","88.88"
"20020702 00:00:00","96.86","97.2","94.77","94.97","34213900","86.99"
"20020703 00:00:00","94.62","95.84","93.72","95.51","30565800","87.49"
"20020705 00:00:00","96.78","99.53","96.66","99.31","19013500","90.97"
"20020708 00:00:00","98.98","99.7","97.56","98.07","19118600","89.83"
"20020709 00:00:00","97.73","98.34","95.01","95.6","28620400","87.57"
"20020710 00:00:00","96","96.07","92.04","92.12","50522500","84.38"
"20020711 00:00:00","91.76","93.35","90.32","92.87","59476500","85.07"
"20020712 00:00:00","93.33","93.89","91.52","91.85","39018600","84.13"
"20020715 00:00:00","91.64","92.4","87.89","92.34","77317200","84.58"
"20020716 00:00:00","91.12","92.38","89.87","90.56","53282400","82.95"
"20020717 00:00:00","92.46","93.3","89.75","90.74","48880600","83.12"
"20020718 00:00:00","90.7","91.1","87.75","87.8","32656700","80.42"
"20020719 00:00:00","86.76","87.55","84.3","84.71","77572600","77.59"
"20020722 00:00:00","84.1","85.91","81.45","82.2","78134000","75.29"
"20020723 00:00:00","82.55","83.24","79.75","79.95","74484100","73.23"
"20020724 00:00:00","78.13","85.12","77.68","84.72","107022800","77.6"
"20020725 00:00:00","84.27","85.85","81.6","84","87176600","76.94"
"20020726 00:00:00","84.65","85.93","83.8","85.6","41206800","78.41"
"20020729 00:00:00","87.5","90.34","87.3","89.77","53492900","82.23"
"20020730 00:00:00","89.32","91.4","88.72","90.94","47532200","83.3"
"20020731 00:00:00","90.49","91.55","89.25","91.16","44669900","83.5"
"20020801 00:00:00","90.88","91.35","88.33","88.78","66571900","81.32"
"20020802 00:00:00","88.5","88.91","85.62","86.79","51772900","79.5"
"20020805 00:00:00","86.49","86.93","83.55","83.77","47191300","76.73"
"20020806 00:00:00","85.23","87.9","85.11","86.59","64730000","79.31"
"20020807 00:00:00","87.87","88.5","85.77","88.1","43289400","80.7"
"20020808 00:00:00","88.42","91.1","87.8","90.95","48339800","83.31"
"20020809 00:00:00","90.1","91.94","89.35","91.29","41879200","83.62"
"20020812 00:00:00","89.99","91.27","89.55","90.62","25841700","83.01"
"20020813 00:00:00","90.15","91.66","88.65","88.97","49690500","81.49"
"20020814 00:00:00","89.02","92.63","88.02","92.22","57423600","84.47"
"20020815 00:00:00","92.84","93.99","92.2","93.5","45551500","85.64"
"20020816 00:00:00","92.82","94.08","92","93.22","36517300","85.39"
"20020819 00:00:00","93.46","95.75","93.1","95.4","33669900","87.38"
"20020820 00:00:00","94.82","95.4","93.62","94.39","30508300","86.46"
"20020821 00:00:00","95.06","95.78","93.57","95.75","39628900","87.71"
"20020822 00:00:00","95.49","97.15","95.07","96.68","38399800","88.56"
"20020823 00:00:00","96.01","96.15","94.15","94.6","33716400","86.65"
"20020826 00:00:00","94.91","95.64","93.5","95.26","33830100","87.26"
"20020827 00:00:00","95.7","96.25","93.5","94.16","35335700","86.25"
"20020828 00:00:00","93.28","93.49","91.8","92.1","38970600","84.36"
"20020829 00:00:00","91.27","93.05","90.81","92.14","42965700","84.4"
"20020830 00:00:00","91.68","93.39","91.4","91.78","30366700","84.07"
"20020903 00:00:00","90.73","91","88.15","88.28","76586400","80.86"
"20020904 00:00:00","88.61","90.25","88.06","89.54","51099500","82.02"
"20020905 00:00:00","88.49","89.43","87.5","88.78","67250900","81.32"
"20020906 00:00:00","89.75","90.57","89.34","90","38622200","82.44"
"20020909 00:00:00","89.1","91.35","88.8","90.66","33998400","83.04"
"20020910 00:00:00","91.14","91.78","90.56","91.7","41416600","84"
"20020911 00:00:00","92.47","93.33","91.1","91.13","27711200","83.47"
"20020912 00:00:00","90.75","90.84","88.99","89.45","43601700","81.93"
"20020913 00:00:00","88.69","89.9","88.25","89.67","41131000","82.14"
"20020916 00:00:00","89.31","89.89","88.46","89.89","28167600","82.34"
"20020917 00:00:00","90.89","91.19","87.75","87.83","47609700","80.45"
"20020918 00:00:00","87.01","88.5","86.28","86.95","54719400","79.64"
"20020919 00:00:00","85.99","86.8","84.7","84.7","48510500","77.58"
"20020920 00:00:00","84.92","85.2","84.05","84.35","46325600","77.61"
"20020923 00:00:00","83.65","84.06","82.69","83.66","46893800","76.97"
"20020924 00:00:00","82.44","83.65","81.85","82.31","69507000","75.73"
"20020925 00:00:00","83.37","84.77","82.04","84.35","59294400","77.61"
"20020926 00:00:00","85.02","85.97","84.45","85.73","53638000","78.88"
"20020927 00:00:00","85","85.63","82.75","82.75","64648300","76.14"
"20020930 00:00:00","82","82.8","80.9","81.79","73096400","75.25"
"20021001 00:00:00","82.43","85.77","81.47","85.72","67198100","78.87"
"20021002 00:00:00","84.69","85.53","82.6","83.15","56749100","76.51"
"20021003 00:00:00","83.14","84.6","81.95","82.31","55547000","75.73"
"20021004 00:00:00","82.8","82.92","79.58","80.8","68483700","74.34"
"20021007 00:00:00","80.06","81.2","78.55","79.13","53188000","72.81"
"20021008 00:00:00","79.81","81.31","78.2","80.37","79531000","73.95"
"20021009 00:00:00","79.09","79.7","77.78","78.1","79956400","71.86"
"20021010 00:00:00","77.94","81.07","77.07","80.63","76749000","74.19"
"20021011 00:00:00","82.1","84.73","81.82","84.16","82308300","77.43"
"20021014 00:00:00","83.2","84.85","83.04","84.63","40631900","77.87"
"20021015 00:00:00","86.99","88.72","86.85","88.7","82320300","81.61"
"20021016 00:00:00","87.41","87.8","85.92","86.55","62977800","79.63"
"20021017 00:00:00","88.87","89.3","87.85","88.27","68534100","81.22"
